model_dir_id,num_params,training_data,arch,arch_family,arch_group,extra_annotations,top1_val_acc,top1_val_acc_subset_200,imagenet_top1_val_acc,imagenet_mla_val_acc,num_all_samples,num_group_samples,num_group_correct,num_all_top1_errors,num_group_top1_errors,mla_all,mla_all_minor_error,mla_all_explainable_error,mla_group,mla_group_minor_error,mla_group_explainable_error,num_collapsed_mappings,num_ambiguous,num_same_superclass,num_common_co_occ,num_non_prototypical,num_OOV_clip,num_not_classified
timm--vit_huge_patch14_clip_336.laion2b_ft_in12k_in1k,632456680,LAION-2B (2.3B),vit,transformer,ViT,['CLIP Training'],51.36,74.25333333333333,88.588,96.66884663109536,7500,2240,1137,3648,1103,54.03175209330793,74.62320838460988,76.06902015232664,55.44556734744642,72.91770822693822,75.19642887551512,0,0,119,59,0,297,628
timm--vit_large_patch14_clip_224.laion2b_ft_in12k_in1k,304204776,LAION-2B (2.3B),vit,transformer,ViT,['CLIP Training'],44.29333333333334,67.0,87.894,95.99282774973605,7500,2240,897,4178,1343,44.23213416915141,67.89125402891223,69.38724327007489,43.00922777869548,65.0555698744636,67.52139036768223,0,0,153,61,0,346,783
timm--vit_large_patch14_clip_224.laion2b_ft_in1k,304204776,LAION-2B (2.3B),vit,transformer,ViT,['CLIP Training'],38.333333333333336,59.86666666666667,87.286,95.31612048855887,7500,2240,874,4625,1366,40.2603930185485,65.29350842773772,66.70672003835975,41.96170955880095,65.25233730042814,67.50435486474566,0,0,174,54,0,355,783
timm--vit_large_patch14_clip_224.openai_ft_in12k_in1k,304204776,WIT (400M),vit,transformer,ViT,['CLIP Training'],49.70666666666666,72.22666666666667,88.172,96.5250866114453,7500,2240,1012,3772,1228,49.230413845797976,71.87634050021708,73.13013468962073,47.533565810684465,68.81062981091257,70.74447360597831,0,0,148,55,0,324,701
timm--vit_large_patch14_clip_224.openai_ft_in1k,304204776,WIT (400M),vit,transformer,ViT,['CLIP Training'],49.78666666666667,71.76,87.854,96.21185440505515,7500,2240,1021,3766,1219,49.539080542839756,73.05243278394563,74.75608676805119,48.227732895920305,70.61929925316281,73.53789964986242,0,0,149,69,0,358,643
timm--vit_large_patch14_clip_336.laion2b_ft_in12k_in1k,304532456,LAION-2B (2.3B),vit,transformer,ViT,['CLIP Training'],49.013333333333335,71.78666666666666,88.178,96.40245255862169,7500,2240,1043,3824,1197,50.14411948403177,71.68578082951716,72.95176542521699,50.45681234571424,69.88721971550906,71.86860313406265,0,0,146,51,0,301,699
timm--vit_large_patch14_clip_336.laion2b_ft_in1k,304532456,LAION-2B (2.3B),vit,transformer,ViT,['CLIP Training'],45.653333333333336,67.0,87.854,96.18260643853938,7500,2240,1083,4076,1157,48.4421530170441,70.87000049872684,72.23269956775351,51.20821460289865,70.45288952735122,72.53478259924057,0,0,141,52,0,300,664
timm--vit_large_patch14_clip_336.openai_ft_in12k_in1k,304532456,WIT (400M),vit,transformer,ViT,['CLIP Training'],55.52,77.28,88.268,96.43307870449156,7500,2240,1186,3336,1054,56.70985570905054,76.83423035157782,78.44510780235808,56.0443391862586,74.42780730800503,77.08111970998536,0,0,138,63,0,293,560
timm--vit_large_patch16_224.augreg_in21k_ft_in1k,304326632,ImageNet-21k (14M),vit,transformer,ViT,[],35.06666666666667,55.53333333333333,85.84,94.5158975802323,7500,2240,676,4870,1564,34.10427888133359,59.382073489240675,60.91565844594557,31.82791131121181,57.162100958975856,59.59166566593439,0,0,177,59,0,375,953
timm--vit_large_patch16_384.augreg_in21k_ft_in1k,304715752,ImageNet-21k (14M),vit,transformer,ViT,[],49.25333333333333,71.18666666666667,87.08399999999999,95.58325205453328,7500,2240,909,3806,1331,46.77303744557581,69.05713710792378,70.34023295856693,42.88168994520027,64.71310147966321,66.71714175011742,0,0,155,49,0,322,805
