model_dir_id,num_params,training_data,arch,arch_family,arch_group,extra_annotations,top1_val_acc,imagenet_top1_val_acc,imagenet_mla_val_acc,num_all_samples,num_group_samples,num_group_correct,num_all_top1_errors,num_group_top1_errors,mla_all,mla_all_minor_error,mla_all_explainable_error,mla_group,mla_group_minor_error,mla_group_explainable_error,num_collapsed_mappings,num_ambiguous,num_same_superclass,num_common_co_occ,num_non_prototypical,num_OOV_clip,num_not_classified,num_all_imagenet-m_samples,num_group_imagenet-m_samples,num_imagenet-m_errors
timm--efficientnet_es_pruned.in1k,5438392,ImageNet-1k (1.2M),efficientnet,cnn,EfficientNet,['Distillation'],75.006,75.006,83.88708721189406,18692,10184,7346,4087,2838,83.88708721189406,91.37189949154751,92.27238115384814,78.01863213540847,87.29213678352042,88.84773042587543,75,781,579,132,7,170,1094,68,47,38
timm--efficientnet_lite0.ra_in1k,4652008,ImageNet-1k (1.2M),efficientnet,cnn,EfficientNet,[],75.472,75.472,84.39433144899498,18692,10184,7427,3959,2757,84.39433144899498,91.64004910766955,92.50220179072774,77.78928758757684,87.15541719847072,88.5609829386807,76,766,557,127,8,171,1052,68,47,36
timm--efficientnetv2_rw_m.agc_in1k,53236442,ImageNet-1k (1.2M),efficientnet,cnn,EfficientNet,[],84.294,84.294,93.34292500713983,18692,10184,8533,2293,1651,93.34292500713983,97.1975486394414,97.71586059322543,89.92917458105957,95.885561658793,96.75939365287294,80,732,296,76,8,115,344,68,47,33
timm--efficientnetv2_rw_s.ra2_in1k,23941296,ImageNet-1k (1.2M),efficientnet,cnn,EfficientNet,[],82.878,82.878,92.00814942023968,18692,10184,8356,2568,1828,92.00814942023968,96.446894867259,97.05652593021053,88.76394775978189,94.7244488580938,95.70452601537572,79,756,315,89,10,136,443,68,47,35
timm--efficientnetv2_rw_t.ra2_in1k,13649388,ImageNet-1k (1.2M),efficientnet,cnn,EfficientNet,[],81.38,81.38,90.50817204939922,18692,10184,8201,2811,1983,90.50817204939922,95.467551826399,96.09478896619412,86.610827179963,92.90149397954801,94.0020229503647,71,741,369,94,9,137,562,68,47,34
timm--eva02_base_patch14_448.mim_in22k_ft_in1k,87117544,ImageNet-21k (14M),eva,transformer,EVA,['Self-Supervised Learning'],88.252,88.252,96.7642380130193,18692,10184,9105,1565,1079,96.7642380130193,99.10654287490988,99.3795409101563,95.81843122161953,98.67511076928203,99.11608741793934,84,656,141,33,6,63,96,68,47,30
timm--eva02_base_patch14_448.mim_in22k_ft_in22k_in1k,87117544,ImageNet-21k (14M),eva,transformer,EVA,['Self-Supervised Learning'],88.69399999999999,88.69399999999999,96.97265015857921,18692,10184,9143,1494,1041,96.97265015857921,99.21155920060345,99.4837867812443,95.9774374801124,98.8807237211786,99.45076271855892,82,653,154,33,4,45,70,68,47,28
timm--eva02_large_patch14_448.mim_in22k_ft_in1k,305080232,ImageNet-21k (14M),eva,transformer,EVA,['Self-Supervised Learning'],89.62,89.62,97.47677676468722,18692,10184,9227,1370,957,97.47677676468722,99.29537576501595,99.52085402042063,96.38531324651807,99.03083208753864,99.41009664165745,76,615,105,26,5,55,75,68,47,30
timm--eva02_large_patch14_448.mim_in22k_ft_in22k_in1k,305080232,ImageNet-21k (14M),eva,transformer,EVA,['Self-Supervised Learning'],89.96,89.96,97.74740687030572,18692,10184,9272,1313,912,97.74740687030572,99.49092961476096,99.67957737480963,96.65599041077107,99.43576492774623,99.63793856035711,81,605,99,22,4,55,46,68,47,28
timm--eva02_large_patch14_448.mim_m38m_ft_in1k,305080232,Merged (38M),eva,transformer,EVA,['Self-Supervised Learning'],89.578,89.578,97.48103041351524,18692,10184,9242,1366,942,97.48103041351524,99.33096204878721,99.58233426704022,96.47565124327114,99.11169350351085,99.52903741475954,77,602,117,31,5,49,61,68,47,32
timm--eva02_large_patch14_448.mim_m38m_ft_in22k_in1k,305080232,Merged (38M),eva,transformer,EVA,['Self-Supervised Learning'],90.054,90.054,97.79623746652416,18692,10184,9289,1296,895,97.79623746652416,99.46519585892275,99.64982325036512,97.0240463314586,99.12134738175085,99.46336995326254,88,587,107,25,1,37,50,68,47,30
timm--eva02_small_patch14_336.mim_in22k_ft_in1k,22129000,ImageNet-21k (14M),eva,transformer,EVA,['Self-Supervised Learning'],85.72,85.72,94.21840755520748,18692,10184,8766,2050,1418,94.21840755520748,97.8601967966676,98.3233623982658,92.2158847344607,96.84007402973107,97.54574167624509,81,671,251,63,7,105,240,68,47,31
timm--eva02_tiny_patch14_336.mim_in22k_ft_in1k,5756584,ImageNet-21k (14M),eva,transformer,EVA,['Self-Supervised Learning'],80.63,80.63,89.71610336945511,18692,10184,8096,2962,2088,89.71610336945511,95.40028079247932,96.0834149050987,85.77015878554765,92.67846464516596,94.07917873130847,76,759,402,108,9,158,576,68,47,32
timm--eva_giant_patch14_224.clip_ft_in1k,1012555112,LAION-400M (400M),eva,transformer,EVA,"['Self-Supervised Learning', 'CLIP Training']",88.884,88.884,97.20708780813301,18692,10184,9196,1419,988,97.20708780813301,99.20506132412493,99.47203530602535,96.52345460987459,98.93889578634517,99.23629230310056,81,618,122,33,5,49,80,68,47,38
timm--eva_giant_patch14_336.clip_ft_in1k,1013005672,LAION-400M (400M),eva,transformer,EVA,"['Self-Supervised Learning', 'CLIP Training']",89.46600000000001,89.46600000000001,97.55187508741714,18692,10184,9239,1373,945,97.55187508741714,99.4012148867645,99.62941535116076,96.87183603694717,99.0708282370264,99.47223761398664,78,632,108,30,4,44,49,68,47,28
timm--eva_giant_patch14_336.m30m_ft_in22k_in1k,1013005672,Merged (30M),eva,transformer,EVA,['Self-Supervised Learning'],89.564,89.564,97.6027718381552,18692,10184,9267,1334,917,97.6027718381552,99.411031609,99.624277322265,96.72610400435491,99.33119558055827,99.56954267378148,78,602,112,27,4,39,55,68,47,31
timm--eva_giant_patch14_560.m30m_ft_in22k_in1k,1014447464,Merged (30M),eva,transformer,EVA,['Self-Supervised Learning'],89.79,89.79,97.72546194388708,18692,10184,9268,1313,916,97.72546194388708,99.40055654785542,99.63530380910808,96.85017219458247,99.15769223959339,99.57380749890658,80,602,104,32,4,40,54,68,47,29
timm--eva_large_patch14_196.in22k_ft_in1k,304142312,ImageNet-21k (14M),eva,transformer,EVA,['Self-Supervised Learning'],87.92999999999999,87.92999999999999,96.58408258580108,18692,10184,9095,1605,1089,96.58408258580108,99.00176058547589,99.30320901234998,95.12872087391771,98.69413262050088,99.21924456553289,80,661,140,39,5,64,100,68,47,32
timm--eva_large_patch14_196.in22k_ft_in22k_in1k,304142312,ImageNet-21k (14M),eva,transformer,EVA,['Self-Supervised Learning'],88.578,88.578,96.84544047498792,18692,10184,9123,1537,1061,96.84544047498792,99.17891870513394,99.43924955677281,96.04250628251845,98.92039267580499,99.22329137656499,79,649,141,36,3,71,82,68,47,35
timm--eva_large_patch14_336.in22k_ft_in1k,304531432,ImageNet-21k (14M),eva,transformer,EVA,['Self-Supervised Learning'],88.67399999999999,88.67399999999999,97.17162513183438,18692,10184,9173,1475,1011,97.17162513183438,99.24173989838862,99.49628258050862,96.19642310961076,98.98857128486873,99.43298046375814,80,647,118,34,5,54,73,68,47,29
timm--eva_large_patch14_336.in22k_ft_in22k_in1k,304531432,ImageNet-21k (14M),eva,transformer,EVA,['Self-Supervised Learning'],89.21,89.21,97.3761933822115,18692,10184,9197,1424,987,97.3761933822115,99.31652370934891,99.56529649916654,96.94844749144413,99.23742547050587,99.5233270215287,80,639,127,34,3,43,61,68,47,27
timm--fbnetc_100.rmsp_in1k,5572200,ImageNet-1k (1.2M),fbnet,cnn,EfficientNet,[],75.12,75.12,83.94187233131527,18692,10184,7334,4057,2850,83.94187233131527,91.20380551723856,92.08622702632802,76.80595273635589,85.76188786602424,87.34266413044762,82,762,582,130,7,168,1119,68,47,39
timm--fbnetv3_b.ra2_in1k,8598464,ImageNet-1k (1.2M),fbnet,cnn,EfficientNet,[],78.206,78.206,87.23788152808692,18692,10184,7775,3446,2409,87.23788152808692,93.54529256562188,94.31027275270353,82.25276255480793,90.41014542657012,91.80076321016057,76,758,479,114,6,158,818,68,47,37
timm--fbnetv3_d.ra2_in1k,10306272,ImageNet-1k (1.2M),fbnet,cnn,EfficientNet,[],78.66199999999999,78.66199999999999,87.97526751757049,18692,10184,7871,3332,2313,87.97526751757049,94.27534004952778,94.96737036097757,83.02471058163897,91.74946071527985,92.93837352637556,66,791,458,104,8,168,718,68,47,37
